n,t
934000,1.125176
935000,1.126399
936000,1.127884
937000,1.129133
938000,1.130364
939000,1.131612
940000,1.132828
941000,1.134105
942000,1.135331
943000,1.136834
944000,1.138071
945000,1.139277
946000,1.140528
947000,1.141762
948000,1.143005
949000,1.144211
950000,1.145716
951000,1.146930
952000,1.148205
953000,1.149417
954000,1.150651
955000,1.151883
956000,1.153143
957000,1.154632
958000,1.155869
959000,1.157125
960000,1.158347
961000,1.159579
962000,1.160798
963000,1.162023
964000,1.163261
965000,1.164762
966000,1.166010
967000,1.167229
968000,1.168443
969000,1.169693
970000,1.170900
971000,1.172141
972000,1.173634
973000,1.174868
974000,1.176099
975000,1.177327
976000,1.178577
977000,1.179833
978000,1.181070
979000,1.182542
980000,1.183783
981000,1.185024
982000,1.186250
983000,1.187471
984000,1.188725
985000,1.189992
986000,1.191474
987000,1.192686
988000,1.193969
989000,1.195210
990000,1.196432
991000,1.197662
992000,1.198908
993000,1.200162
994000,1.201659
995000,1.202868
996000,1.204126
997000,1.205358
998000,1.206561
999000,1.207795
1000000,1.209077
