n,t
823000,7.57899e-07
824000,7.3483e-07
825000,7.6021e-07
826000,7.4121e-07
827000,7.61831e-07
828000,8.04551e-07
829000,7.6489e-07
830000,7.27401e-07
831000,7.22511e-07
832000,7.0096e-07
833000,6.882e-07
834000,6.97079e-07
835000,7.26969e-07
836000,7.6499e-07
837000,7.11129e-07
838000,7.0627e-07
839000,7.08828e-07
840000,6.92182e-07
841000,7.0153e-07
842000,6.94549e-07
843000,7.5562e-07
844000,7.2464e-07
845000,7.7379e-07
846000,7.4074e-07
847000,7.2125e-07
848000,7.32529e-07
849000,7.4285e-07
850000,7.64399e-07
851000,7.41739e-07
852000,7.54611e-07
853000,7.23081e-07
854000,7.01611e-07
855000,7.22468e-07
856000,7.82411e-07
857000,7.9066e-07
858000,7.61399e-07
859000,8.1625e-07
860000,8.62041e-07
861000,7.86009e-07
862000,7.30309e-07
863000,7.19199e-07
864000,7.34081e-07
865000,7.2217e-07
866000,7.53388e-07
867000,7.49559e-07
868000,7.01492e-07
869000,6.93929e-07
870000,7.29601e-07
871000,7.09879e-07
872000,6.9505e-07
873000,7.6731e-07
874000,8.61089e-07
875000,8.57968e-07
876000,8.0828e-07
877000,7.73599e-07
878000,7.96611e-07
879000,7.68471e-07
880000,7.22561e-07
881000,7.15909e-07
882000,7.9638e-07
883000,8.20501e-07
884000,7.66299e-07
885000,7.48429e-07
886000,7.32272e-07
887000,7.22911e-07
888000,7.34811e-07
889000,7.36852e-07
890000,7.64301e-07
891000,7.4224e-07
892000,7.92279e-07
893000,7.44901e-07
894000,7.23028e-07
895000,7.34532e-07
896000,7.18029e-07
897000,7.45139e-07
898000,7.28569e-07
899000,7.47709e-07
900000,7.55529e-07
901000,8.1341e-07
902000,7.8177e-07
903000,7.5429e-07
904000,7.37751e-07
905000,7.78799e-07
906000,8.04009e-07
907000,7.44009e-07
908000,7.32858e-07
909000,7.3993e-07
910000,8.44581e-07
911000,7.74119e-07
912000,7.64709e-07
913000,7.6905e-07
914000,7.65948e-07
915000,7.57289e-07
916000,7.30672e-07
917000,7.2186e-07
918000,7.3422e-07
919000,7.46429e-07
920000,7.36599e-07
921000,7.1779e-07
922000,7.11401e-07
923000,7.34332e-07
924000,7.31771e-07
925000,7.21939e-07
926000,7.41601e-07
927000,7.40862e-07
928000,7.441e-07
929000,7.26638e-07
930000,7.3554e-07
931000,7.56662e-07
932000,8.8562e-07
933000,7.92329e-07
934000,7.63071e-07
935000,7.52599e-07
936000,7.50568e-07
937000,8.20301e-07
938000,8.02689e-07
939000,7.5146e-07
940000,8.02379e-07
941000,7.82299e-07
942000,8.23772e-07
943000,7.6014e-07
944000,7.88188e-07
945000,7.64241e-07
946000,7.3051e-07
947000,7.40221e-07
948000,7.9247e-07
949000,7.5428e-07
950000,7.68929e-07
951000,7.4472e-07
952000,7.58951e-07
953000,7.4646e-07
954000,7.57751e-07
955000,7.61771e-07
956000,7.90949e-07
957000,8.17852e-07
958000,7.72171e-07
959000,7.58581e-07
960000,7.8609e-07
961000,7.50101e-07
962000,7.40829e-07
963000,7.83691e-07
964000,8.129e-07
965000,7.5366e-07
966000,7.3014e-07
967000,7.37619e-07
968000,7.46589e-07
969000,7.4533e-07
970000,7.6371e-07
971000,7.3245e-07
972000,7.23431e-07
973000,7.2552e-07
974000,7.29589e-07
975000,7.30329e-07
976000,7.7188e-07
977000,7.5676e-07
978000,7.35509e-07
979000,7.30159e-07
980000,7.3545e-07
981000,7.409e-07
982000,7.58328e-07
983000,7.75678e-07
984000,7.4785e-07
985000,7.28848e-07
986000,7.2639e-07
987000,8.14199e-07
988000,8.32701e-07
989000,7.69832e-07
990000,7.7276e-07
991000,8.0673e-07
992000,7.82959e-07
993000,7.71151e-07
994000,7.67789e-07
995000,7.67021e-07
996000,7.56881e-07
997000,7.42199e-07
998000,7.3452e-07
999000,7.3261e-07
1000000,7.91011e-07
